area,area_title,area_type,naics,naics_title,occ code,occ title,tot_emp,a_median
15,Hawaii,2,000000,Cross-industry,252031,"Secondary School Teachers, Except Special and Career/Technical Education",3560,"56,180"
16,Idaho,2,000000,Cross-industry,252021,"Elementary School Teachers, Except Special Education",7070,"44,940"
16,Idaho,2,000000,Cross-industry,252022,"Middle School Teachers, Except Special and Career/Technical Education",2680,"46,630"
16,Idaho,2,000000,Cross-industry,252031,"Secondary School Teachers, Except Special and Career/Technical Education",4420,"41,860"
17,Illinois,2,000000,Cross-industry,252021,"Elementary School Teachers, Except Special Education",60570,"55,320"
17,Illinois,2,000000,Cross-industry,252022,"Middle School Teachers, Except Special and Career/Technical Education",34590,"62,870"
17,Illinois,2,000000,Cross-industry,252031,"Secondary School Teachers, Except Special and Career/Technical Education",44440,"66,260"
18,Indiana,2,000000,Cross-industry,252021,"Elementary School Teachers, Except Special Education",26070,"48,710"
18,Indiana,2,000000,Cross-industry,252022,"Middle School Teachers, Except Special and Career/Technical Education",9140,"49,660"
18,Indiana,2,000000,Cross-industry,252031,"Secondary School Teachers, Except Special and Career/Technical Education",18400,"49,770"
19,Iowa,2,000000,Cross-industry,252021,"Elementary School Teachers, Except Special Education",15830,"51,150"
19,Iowa,2,000000,Cross-industry,252022,"Middle School Teachers, Except Special and Career/Technical Education",6540,"54,720"
19,Iowa,2,000000,Cross-industry,252031,"Secondary School Teachers, Except Special and Career/Technical Education",12270,"50,950"
20,Kansas,2,000000,Cross-industry,252021,"Elementary School Teachers, Except Special Education",14070,"45,110"
20,Kansas,2,000000,Cross-industry,252022,"Middle School Teachers, Except Special and Career/Technical Education",5860,"47,150"
20,Kansas,2,000000,Cross-industry,252031,"Secondary School Teachers, Except Special and Career/Technical Education",9920,"46,690"
21,Kentucky,2,000000,Cross-industry,252021,"Elementary School Teachers, Except Special Education",18820,"51,850"
21,Kentucky,2,000000,Cross-industry,252022,"Middle School Teachers, Except Special and Career/Technical Education",8200,"52,030"
21,Kentucky,2,000000,Cross-industry,252031,"Secondary School Teachers, Except Special and Career/Technical Education",12590,"53,040"
22,Louisiana,2,000000,Cross-industry,252021,"Elementary School Teachers, Except Special Education",24690,"47,460"
22,Louisiana,2,000000,Cross-industry,252022,"Middle School Teachers, Except Special and Career/Technical Education",5140,"46,840"
22,Louisiana,2,000000,Cross-industry,252031,"Secondary School Teachers, Except Special and Career/Technical Education",14090,"48,470"
23,Maine,2,000000,Cross-industry,252021,"Elementary School Teachers, Except Special Education",6340,"51,170"
23,Maine,2,000000,Cross-industry,252022,"Middle School Teachers, Except Special and Career/Technical Education",3060,"52,240"
23,Maine,2,000000,Cross-industry,252031,"Secondary School Teachers, Except Special and Career/Technical Education",5580,"52,050"
24,Maryland,2,000000,Cross-industry,252021,"Elementary School Teachers, Except Special Education",25410,"61,620"
24,Maryland,2,000000,Cross-industry,252022,"Middle School Teachers, Except Special and Career/Technical Education",14240,"63,250"
24,Maryland,2,000000,Cross-industry,252031,"Secondary School Teachers, Except Special and Career/Technical Education",19780,"63,680"
25,Massachusetts,2,000000,Cross-industry,252021,"Elementary School Teachers, Except Special Education",27220,"71,240"
25,Massachusetts,2,000000,Cross-industry,252022,"Middle School Teachers, Except Special and Career/Technical Education",18530,"70,990"
25,Massachusetts,2,000000,Cross-industry,252031,"Secondary School Teachers, Except Special and Career/Technical Education",24130,"71,570"
26,Michigan,2,000000,Cross-industry,252021,"Elementary School Teachers, Except Special Education",38190,"63,530"
