area,area_title,area_type,naics,naics_title,occ code,occ title,tot_emp,a_median
99,U.S.,1,622000,"Hospitals, Privately owned",25-2051,"Special Education Teachers, Preschool",40,60850
99,U.S.,1,622000,Hospitals,25-2052,"Special Education Teachers, Kindergarten and Elementary School",150,50100
99,U.S.,1,622000,"Hospitals, Privately owned",25-2052,"Special Education Teachers, Kindergarten and Elementary School",150,49970
99,U.S.,1,622000,Hospitals,25-2054,"Special Education Teachers, Secondary School",320,62560
99,U.S.,1,622000,"Hospitals, Privately owned",25-2054,"Special Education Teachers, Secondary School",220,61310
99,U.S.,1,622000,"Hospitals, State government owned",25-2054,"Special Education Teachers, Secondary School",100,64660
99,U.S.,1,622000,"Hospitals, State government owned",25-2059,"Special Education Teachers, All Other",40,59970
99,U.S.,1,622100,General Medical and Surgical Hospitals,25-2011,"Preschool Teachers, Except Special Education",1020,30110
99,U.S.,1,622100,General Medical and Surgical Hospitals,25-2011,"Preschool Teachers, Except Special Education",50,29170
99,U.S.,1,622100,General Medical and Surgical Hospitals,25-2052,"Special Education Teachers, Kindergarten and Elementary School",130,49690
99,U.S.,1,622100,General Medical and Surgical Hospitals,25-2052,"Special Education Teachers, Kindergarten and Elementary School",130,49560
99,U.S.,1,622200,Psychiatric and Substance Abuse Hospitals,25-2031,"Secondary School Teachers, Except Special and Career/Technical Education",90,56610
99,U.S.,1,622200,Psychiatric and Substance Abuse Hospitals,25-2031,"Secondary School Teachers, Except Special and Career/Technical Education",50,51290
99,U.S.,1,622200,Psychiatric and Substance Abuse Hospitals,25-2031,"Secondary School Teachers, Except Special and Career/Technical Education",40,62230
99,U.S.,1,622200,Psychiatric and Substance Abuse Hospitals,25-2054,"Special Education Teachers, Secondary School",210,63940
99,U.S.,1,622200,Psychiatric and Substance Abuse Hospitals,25-2054,"Special Education Teachers, Secondary School",150,67530
99,U.S.,1,622200,Psychiatric and Substance Abuse Hospitals,25-2054,"Special Education Teachers, Secondary School",70,58540
99,U.S.,1,622200,Psychiatric and Substance Abuse Hospitals,25-2059,"Special Education Teachers, All Other",120,56140
99,U.S.,1,622200,Psychiatric and Substance Abuse Hospitals,25-2059,"Special Education Teachers, All Other",80,53310
99,U.S.,1,622200,Psychiatric and Substance Abuse Hospitals,25-2059,"Special Education Teachers, All Other",40,59460
99,U.S.,1,622300,Specialty (except Psychiatric and Substance Abuse) Hospitals,25-2059,"Special Education Teachers, All Other",50,46330
99,U.S.,1,622300,Specialty (except Psychiatric and Substance Abuse) Hospitals,25-2059,"Special Education Teachers, All Other",50,46330
99,U.S.,1,623000,Nursing and Residential Care Facilities,25-2021,"Elementary School Teachers, Except Special Education",50,37600
99,U.S.,1,623000,Nursing and Residential Care Facilities,25-2022,"Middle School Teachers, Except Special and Career/Technical Education",70,43990
99,U.S.,1,623000,Nursing and Residential Care Facilities,25-2051,"Special Education Teachers, Preschool",350,49710
99,U.S.,1,623000,Nursing and Residential Care Facilities,25-2053,"Special Education Teachers, Middle School",170,45100
99,U.S.,1,623000,Nursing and Residential Care Facilities,25-2059,"Special Education Teachers, All Other",1020,43380
99,U.S.,1,623100,Nursing Care Facilities (Skilled Nursing Facilities),25-2011,"Preschool Teachers, Except Special Education",70,29300
99,U.S.,1,623200,"Residential Intellectual and Developmental Disability, Mental Health, and Substance Abuse Facilities",25-2031,"Secondary School Teachers, Except Special and Career/Technical Education",170,42300
99,U.S.,1,623200,"Residential Intellectual and Developmental Disability, Mental Health, and Substance Abuse Facilities",25-2051,"Special Education Teachers, Preschool",140,46300
99,U.S.,1,623200,"Residential Intellectual and Developmental Disability, Mental Health, and Substance Abuse Facilities",25-2052,"Special Education Teachers, Kindergarten and Elementary School",240,46620
99,U.S.,1,623200,"Residential Intellectual and Developmental Disability, Mental Health, and Substance Abuse Facilities",25-2053,"Special Education Teachers, Middle School",120,44840
99,U.S.,1,623200,"Residential Intellectual and Developmental Disability, Mental Health, and Substance Abuse Facilities",25-2059,"Special Education Teachers, All Other",720,41970
99,U.S.,1,623210,Residential Intellectual and Developmental Disability Facilities,25-2011,"Preschool Teachers, Except Special Education",40,52860
99,U.S.,1,623210,Residential Intellectual and Developmental Disability Facilities,25-2052,"Special Education Teachers, Kindergarten and Elementary School",100,42780
99,U.S.,1,623210,Residential Intellectual and Developmental Disability Facilities,25-2054,"Special Education Teachers, Secondary School",270,50430
99,U.S.,1,623220,Residential Mental Health and Substance Abuse Facilities,25-2011,"Preschool Teachers, Except Special Education",120,33690
99,U.S.,1,623220,Residential Mental Health and Substance Abuse Facilities,25-2031,"Secondary School Teachers, Except Special and Career/Technical Education",150,41630
99,U.S.,1,623220,Residential Mental Health and Substance Abuse Facilities,25-2052,"Special Education Teachers, Kindergarten and Elementary School",140,50170
99,U.S.,1,623220,Residential Mental Health and Substance Abuse Facilities,25-2054,"Special Education Teachers, Secondary School",320,43710
99,U.S.,1,623220,Residential Mental Health and Substance Abuse Facilities,25-2059,"Special Education Teachers, All Other",180,53000
99,U.S.,1,623300,Continuing Care Retirement Communities and Assisted Living Facilities for the Elderly,25-2011,"Preschool Teachers, Except Special Education",40,23850
99,U.S.,1,623900,Other Residential Care Facilities,25-2011,"Preschool Teachers, Except Special Education",240,28290
99,U.S.,1,623900,Other Residential Care Facilities,25-2021,"Elementary School Teachers, Except Special Education",50,37600
99,U.S.,1,623900,Other Residential Care Facilities,25-2022,"Middle School Teachers, Except Special and Career/Technical Education",70,43990
99,U.S.,1,623900,Other Residential Care Facilities,25-2031,"Secondary School Teachers, Except Special and Career/Technical Education",450,43840
99,U.S.,1,623900,Other Residential Care Facilities,25-2051,"Special Education Teachers, Preschool",210,61350
99,U.S.,1,623900,Other Residential Care Facilities,25-2052,"Special Education Teachers, Kindergarten and Elementary School",170,44040
99,U.S.,1,623900,Other Residential Care Facilities,25-2053,"Special Education Teachers, Middle School",50,46320
99,U.S.,1,623900,Other Residential Care Facilities,25-2059,"Special Education Teachers, All Other",290,45030
99,U.S.,1,624000,Social Assistance,25-2021,"Elementary School Teachers, Except Special Education",950,36690
99,U.S.,1,624000,Social Assistance,25-2031,"Secondary School Teachers, Except Special and Career/Technical Education",660,46920
99,U.S.,1,624000,Social Assistance,25-2032,"Career/Technical Education Teachers, Secondary School",80,42390
99,U.S.,1,624000,Social Assistance,25-2051,"Special Education Teachers, Preschool",7280,47550
99,U.S.,1,624000,Social Assistance,25-2053,"Special Education Teachers, Middle School",40,60900
99,U.S.,1,624100,Individual and Family Services,25-2012,"Kindergarten Teachers, Except Special Education",440,40860
99,U.S.,1,624100,Individual and Family Services,25-2021,"Elementary School Teachers, Except Special Education",210,43950
99,U.S.,1,624100,Individual and Family Services,25-2022,"Middle School Teachers, Except Special and Career/Technical Education",290,51160
99,U.S.,1,624100,Individual and Family Services,25-2054,"Special Education Teachers, Secondary School",570,56540
99,U.S.,1,624120,Services for the Elderly and Persons with Disabilities,25-2011,"Preschool Teachers, Except Special Education",920,29950
99,U.S.,1,624120,Services for the Elderly and Persons with Disabilities,25-2059,"Special Education Teachers, All Other",660,40260
